ID_da_instituicao	Publicacoes
390600000006	81
J54700000000	7
204400000003	523
985600215063	10
985600102242	3
IYQB00000001	5
IXH000000000	17
985600043084	95
072200000001	16
038800000002	124
ICRE00000000	18
985600213036	7
166100000001	122
J1VL00000005	29
426900000006	40
J8QC00000009	7
JI7500000002	168
IXRE00000008	28
985600399040	35
733300000007	11
J4KN00000002	61
985600042410	30
506200000005	9
273000000009	121
985600198568	7
312800000008	112
005800000006	125
985600221152	12
451000000000	7
482200000004	23
455900000000	32
879900000002	5
422500000006	72
985600188120	23
013700000005	31
JNTM00000007	57
448200000004	38
985600164213	12
IYHH00000000	18
531000000002	140
039400000003	34
329200000001	33
195400000000	205
089400000000	9
J19G00000000	11
063700000001	21
167600000009	50
247500000009	323
IWAM00000000	17
J7K600000000	2
089500000001	20
870300000008	73
202100000001	84
544800000009	35
985600163799	6
587400000005	48
435900000005	56
831100000003	16
032604001019	9
496800000005	45
497100000000	72
J6V200000003	87
050600000008	5
434800000005	182
154900000002	48
985600212021	17
J6L100000001	12
062900000007	12
498300000002	115
J6QK00000000	6
892200000007	32
JCPM00000007	12
985608320850	5
462400000003	57
J93M00000001	188
118900000006	6
985600151006	1
579800000001	149
J36200000002	2
802500000007	87
841600000000	104
IXH700000003	11
016300000002	146
985601346161	26
0U0F00000000	11
IY5300000007	217
002600000997	67
026600000005	366
985600179776	1
J6Q200000004	13
IZ4F00000000	5
IWT900000006	25
013800000007	103
284100000006	7
348800000009	33
193400000004	88
616600000006	5
JEIB00000004	27
858000000003	15
411600000002	25
IWD500000000	20
311300000000	21
102400000000	47
985600694387	3
B3WZ00000004	33
985600161974	3
401100000006	18
057000000004	1
IVPL00000001	20
195500000002	47
002400000004	22
201300000007	9
032604002023	16
985600710536	8
546000000000	36
439100000003	2
IYIO00000003	9
141900000000	20
069000000008	57
524500000009	1
111000000002	9
503700000000	20
J9GC00000006	116
985601361861	24
025900000002	117
J14G00000009	46
G53N00000005	4
472700000006	58
985600219158	31
377200000001	17
985601113922	13
885400000008	145
985601111113	23
J01K00000006	61
071800000004	46
002900000992	31
IXWZ00000009	22
JGLR00000002	4
021000000003	38
481300000008	53
028000000000	8
H84F00000005	12
438600000004	102
891300000000	259
487300000007	25
GCPF00000003	11
985600084899	7
IZYH00000003	13
018100000005	12
JF1800000007	24
IXJS00000001	11
398000000000	23
900900000004	37
985600043920	12
IWAU00000006	8
584100000005	24
IZYG00000001	43
457000000000	3
IY4H00000006	5
364000000006	8
J7S900000000	2
IZEE00000008	378
985600168804	19
752200000001	47
155800000009	9
J3RT00000003	28
IZ7N00000000	23
IW1Y00000001	35
JQMV00000000	5
985600682141	4
420700000003	118
438500000002	70
171800000000	22
J8FX00000002	16
985600094916	8
985600149567	13
IY7O00000005	39
IYTC00000008	12
J0XN00000008	12
500400000000	14
985601001997	71
003500000993	11
508300000003	12
116300000009	4
281100000001	234
IZJL00000003	8
469000000003	17
J0N300000008	2
842100000009	17
819000000002	94
802600000009	159
985600151383	33
985600084597	10
985600042827	21
000700000003	119
003100000007	80
364100000008	21
985600218500	11
JP0K00000004	7
298200000008	36
BGHI00000002	4
413600000009	10
985600099934	7
473900000008	9
825100000009	19
208000000009	110
869900000005	197
188200000004	14
J2Z200000007	2
063600000000	15
285100000004	23
J61F00000009	6
101800000000	7
301700000000	100
985600163446	1
IYA400000008	32
354700000001	11
J4U100000009	10
012600000005	39
985600992930	5
192500000008	91
015300000004	6
IWT400000007	17
294300000007	15
029500000008	47
IW6L00000007	15
J4F200000001	20
JIF800000001	11
082500000004	6
985608317159	11
IZ8D00000009	16
084400000009	11
J8LY00000001	121
384400000008	10
351100000006	39
766300000003	55
282600000009	21
J0ZY00000006	17
J1BJ00000000	29
JCOG00000006	28
J0TA00000001	29
381700000009	18
534600000008	11
117300000007	35
J01700000009	89
985600169126	159
985601108074	6
JAN300000008	4
118500000009	32
J6EO00000001	2
985601361799	22
454100000007	50
832000000000	13
985600189488	11
246100000003	309
005200000005	7
154300000001	184
506800000006	4
J7ZM00000003	9
869000000009	20
IYK100000002	2
985600001900	11
294500000000	8
IZYJ00000007	9
IXS700000001	5
JDZ000000000	5
985600409127	3
777100000005	8
303400000001	53
247100000001	110
J0ZR00000001	15
J98T00000005	12
115200000009	9
985600203944	2
J6K900000008	1
AT0F00000005	16
024300000003	5
J8OX00000004	37
763900000000	6
201900000008	97
J0IH00000006	75
JMA100000004	6
J2BG00000001	10
023500000009	18
503500000006	1
010100000000	20
875100000005	13
403300000006	3
546600000001	29
J23700000000	2
309100000005	6
IV6N00000003	8
JCNA00000007	7
135100000001	20
J7ZP00000009	70
IX9G00000008	2
528200000006	40
JEHD00000000	19
J09300000007	5
951500000001	5
IYAN00000006	14
J38U00000005	18
077900000005	10
032601001042	39
IW1F00000003	26
985600159970	23
BEFO00000004	3
985600070308	4
493100000008	19
JAXG00000003	4
432800000009	45
IYSY00000003	3
985600993210	9
J54G00000008	4
451500000000	17
539700000000	5
024500000007	138
IXYJ00000002	5
045000000000	63
J09N00000007	36
985601325016	2
985600042231	38
JGDG00000007	6
616300000000	5
J8YF00000008	10
520400000004	15
0PT000000000	9
622800000004	3
014200000004	59
898500000001	151
081200000000	26
167400000005	3
IZ8V00000005	9
JP3V00000000	52
JHU600000000	9
012000000004	2
294600000002	58
032601001077	13
482100000002	24
J44200000003	14
091600000005	11
985601108929	3
501500000000	41
450400000000	58
450700000005	1
J13700000002	1
IZMS00000009	4
428800000000	199
985600168324	7
422900000003	106
J17T00000009	6
IZDL00000004	1
IZIX00000009	22
985607542396	9
066700000006	203
J0S200000007	7
985601004481	6
985601336565	3
055600000009	36
985600042339	23
099200000003	52
IXGI00000007	8
009100000006	7
171400000003	45
985600971399	13
0RXO00000003	7
425500000000	36
377400000005	51
014500000000	4
777300000009	37
660300000008	104
J4XE00000009	3
IY9600000005	29
985600189844	7
002700000999	27
485400000002	3
630000000000	27
J12600000002	5
156200000006	20
466400000006	27
JE6A00000006	8
168700000009	27
HBH100000001	2
IXRM00000004	30
985600209365	9
985606574499	4
JCT500000005	8
J0ON00000006	14
985600402076	13
507800000004	9
IXTV00000009	23
781800000006	81
J0VX00000001	2
344000000001	25
583400000002	79
JM7R00000002	6
055100000000	3
J1QC00000008	24
179500000000	1
835100000006	6
877900000006	49
985602000994	152
433800000007	10
531100000004	1
014300000006	7
IX9T00000003	8
985600191121	40
065000000005	22
J3GZ00000008	18
985600993279	14
JAVB00000008	18
159000000007	13
328600000000	9
J1UZ00000004	5
985601110338	23
096900000001	26
771700000007	17
468600000006	19
IWT700000002	16
J12L00000003	20
J5U700000007	4
985608318244	4
985600559978	6
294100000003	7
J6IN00000002	39
AT4R00000001	4
822800000007	4
J2NI00000001	4
167800000002	20
IXVO00000009	27
IVH800000000	25
047900000003	29
985600419629	7
J67N00000004	3
J6Q900000007	14
419400000004	16
IY9F00000003	22
531500000001	92
J1B800000008	3
IXOR00000009	34
852000000004	11
J2VV00000002	8
985600201542	5
985600145502	22
J3SJ00000001	13
J5SV00000001	4
882900000002	3
985600390108	4
985600043289	8
985600209799	24
985600174499	5
027700000005	23
985601226522	3
176500000006	9
G4YY00000008	47
GFCD00000007	3
583000000005	41
IYCD00000002	127
JGRY00000006	92
804600000005	5
IYC300000002	15
834400000003	10
J2LV00000002	3
566100000007	4
507700000002	11
884800000007	5
J87U00000003	15
462200000000	16
985601329550	4
J1PB00000008	16
J0JS00000006	4
201800000006	5
867500000001	3
JTMR00000002	7
770900000002	7
JSP800000001	27
548200000000	4
IXKB00000005	23
985600001233	2
J4BJ00000001	6
GCI600000000	6
079400000002	3
IZWL00000006	21
443100000001	6
JDFW00000004	8
0U0E00000008	5
017000000005	3
876200000005	9
IY1W00000002	15
985600042495	32
442500000000	64
IZ1B00000008	7
J4C300000009	5
455800000008	58
985601346021	3
858700000006	9
J3SV00000007	6
GFGJ00000000	8
985600720469	20
JQHV00000000	6
J47R00000007	12
IZFU00000009	26
IVKS00000003	16
J0OB00000002	52
IYH000000008	3
J6KN00000007	6
J1FO00000003	10
J3WT00000002	10
IXQG00000003	4
985600085410	23
142000000002	11
177400000002	11
JAVJ00000002	7
385700000001	3
985600200430	21
