ID_da_instituicao	Ano	Publicacoes
ISUL00000001	2012	4
ISUL00000001	2010	4
004000000003	2015	68
004000000003	2014	72
004000000003	2013	85
004000000003	2012	83
004000000003	2011	90
004000000003	2010	72
811900000003	2015	28
811900000003	2010	16
033200000000	2010	116
004400000000	2013	197
780900000000	2010	8
446900000000	2010	102
006200000003	2015	281
006200000003	2013	277
006200000003	2011	290
024000000008	2012	295
008700000009	2015	114
008700000009	2013	143
008700000009	2012	128
008700000009	2011	80
008700000009	2010	151
001500000008	2013	229
350700000009	2015	35
350700000009	2011	26
004300000009	2014	348
039200000000	2015	232
039200000000	2014	249
039200000000	2013	253
039200000000	2012	208
039200000000	2011	208
039200000000	2010	203
000600000001	2015	241
000600000001	2014	173
000600000001	2013	211
000600000001	2012	245
000600000001	2010	240
021100000005	2011	101
306200000002	2014	66
065800000000	2010	73
I3CJ00000006	2015	69
I3CJ00000006	2014	76
I3CJ00000006	2013	83
I3CJ00000006	2012	73
I3CJ00000006	2011	60
387300000000	2012	55
387300000000	2011	36
000900000996	2012	83
008700000009	2014	155
007000000008	2015	143
007000000008	2011	144
008400000003	2015	122
008400000003	2012	64
000600000990	2013	121
000600000990	2012	114
412700000002	2014	86
460900000006	2014	59
460900000006	2011	57
000300000006	2013	154
431200000000	2015	16
431200000000	2012	30
431200000000	2011	24
431200000000	2010	22
000500000000	2012	251
000500000000	2011	263
000500000000	2010	243
000300000995	2015	148
001200000991	2015	104
010600000009	2015	250
010600000009	2014	258
010600000009	2013	281
010600000009	2011	208
010600000009	2010	254
478800000007	2015	47
478800000007	2014	39
478800000007	2013	52
478800000007	2012	60
478800000007	2011	59
478800000007	2010	80
032100000000	2011	72
016700000000	2011	174
016700000000	2010	119
867100000004	2015	102
000100000002	2015	116
000100000002	2013	118
000100000002	2012	113
000100000002	2010	108
032300000004	2015	122
032300000004	2014	129
000300000995	2011	171
001500000008	2015	218
001500000008	2014	236
001500000008	2011	232
001500000008	2010	238
046100000000	2015	13
046100000000	2014	17
350300000001	2012	4
005900000008	2013	92
024700000000	2012	39
002800000001	2013	99
002800000001	2010	85
768700000007	2012	40
000200000993	2011	255
520900000003	2013	22
520900000003	2011	20
520900000003	2010	17
000900000007	2014	77
000800000994	2012	109
038400000005	2012	111
038400000005	2010	108
000300000006	2015	161
000300000006	2014	184
000300000006	2010	115
011100000008	2014	156
011100000008	2012	149
011100000008	2011	158
011100000008	2010	151
985600079623	2015	9
985600079623	2012	5
985600079623	2010	4
294800000006	2013	25
294800000006	2012	35
412700000002	2015	92
412700000002	2013	95
004500000002	2015	219
004500000002	2014	224
004500000002	2010	205
000500000000	2015	249
004300000009	2012	321
032603005010	2013	1
125200000006	2015	57
125200000006	2014	63
125200000006	2013	57
125200000006	2012	66
125200000006	2011	52
125200000006	2010	44
IXXU00000008	2011	59
