ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
867100000004	UNIVERSIDADE FEDERAL DE ALFENAS	31049	3110	31	13	4	13	12	17	0	2	5	0	8	10	16	2	102
121100000001	CENTRO UNIVERSITARIO FRANCISCANO	43018	4303	43	0	1	2	1	7	1	0	2	0	2	1	11	1	29
033400000004	UNIVERSIDADE FEDERAL DE OURO PRETO	31033	3107	31	13	6	13	21	23	5	7	4	0	8	7	8	6	121
024700000000	INSTITUTO ADOLFO LUTZ	35061	3515	35	8	4	17	0	8	0	0	5	0	18	0	3	0	63
198100000000	UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA	41037	4110	41	19	5	7	28	22	6	18	4	1	9	15	5	7	146
010300000003	UNIVERSIDADE FEDERAL DO PARANA	41037	4110	41	36	10	41	33	25	13	13	14	3	22	18	29	23	280
002100000009	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26017	2605	26	35	11	52	27	27	17	37	22	0	19	22	41	20	330
007900000004	UNIVERSIDADE ESTADUAL DE CAMPINAS	35032	3507	35	36	11	61	40	31	16	31	22	4	23	28	49	28	380
033300000002	UNIVERSIDADE FEDERAL DE MINAS GERAIS	31030	3107	31	38	10	59	39	28	15	26	23	4	23	20	53	30	368
087000000006	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	50004	5002	50	26	7	22	13	19	3	1	7	0	18	4	11	8	139
003900000001	FUNDACAO OSWALDO CRUZ	33018	3306	33	22	9	53	12	22	4	1	16	2	23	5	43	13	225
001700000990	CENTRO UNIVERSITARIO ESTACIO DO CEARA UNIDADE VIA CORPVS	23016	2303	23	2	1	11	0	0	0	0	2	0	2	0	9	0	27
033700000000	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	24018	2404	24	31	9	32	24	19	11	18	19	1	19	15	24	10	232
000300000006	UNIVERSIDADE FEDERAL DE LAVRAS	31057	3111	31	28	6	4	15	18	4	11	3	0	10	5	10	5	119
006700000002	UNIVERSIDADE DE SAO PAULO	35061	3515	35	41	11	66	55	31	20	45	26	6	23	28	60	47	459
019200000005	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	43026	4305	43	36	10	59	51	29	21	36	24	2	22	21	51	32	394
004300000009	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42016	4205	42	33	10	49	43	25	13	26	19	4	22	21	45	26	336
032900000005	UNIVERSIDADE ESTADUAL DE MARINGA	41009	4103	41	32	8	30	15	22	11	5	11	1	18	16	18	12	199
024000000008	UNIVERSIDADE DE BRASILIA	53001	5301	53	35	10	39	32	22	16	13	18	4	22	18	31	28	288
020200000009	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	33018	3306	33	38	11	56	48	29	18	31	21	8	21	24	49	35	389
008400000003	INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA	13007	1303	13	38	6	21	6	16	12	1	8	0	14	7	4	1	134
061400000000	UNIVERSIDADE DE PERNAMBUCO	26017	2605	26	3	3	18	4	6	0	7	10	0	5	4	19	1	80
032600000000	UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO	33018	3306	33	28	8	52	26	17	8	13	17	4	20	18	45	19	275
000600000001	PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL	43026	4305	43	30	8	37	10	18	12	13	20	2	16	10	30	16	222
081100000009	UNIVERSIDADE DE CAXIAS DO SUL	43016	4302	43	11	5	13	12	14	1	2	2	0	10	8	10	5	93
033500000006	UNIVERSIDADE FEDERAL DE SAO CARLOS	42002	4201	42	36	11	26	29	27	13	15	16	1	20	22	21	19	256
033200000000	UNIVERSIDADE FEDERAL DE MATO GROSSO	51007	5101	51	23	5	18	18	15	4	7	6	0	17	8	12	6	139
192900000005	UNIVERSIDADE DO ESTADO DO PARA	27005	2702	27	3	2	3	2	2	1	1	4	0	3	0	5	0	26
001200000991	HOSPITAL UNIVERSITARIO MARIA APARECIDA PEDROSSIAN	50004	5002	50	8	3	21	0	4	1	0	5	0	7	0	13	2	64
009200000008	EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA	53001	5301	53	34	10	20	19	24	10	9	6	0	18	6	5	7	168
807700000001	UNIVERSIDADE CRUZEIRO DO SUL	35061	3515	35	3	0	5	0	1	0	1	7	0	2	4	12	2	37
