ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
000500000999	CARDIOCENTRO CLINICA DE DOENCAS DO CORACAO	24018	2404	24	15	6	33	12	13	4	1	9	1	17	3	11	9	134
033000000007	UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO	35026	3506	35	43	10	51	49	29	19	24	18	3	21	25	35	24	351
002500000006	CENTRO BRASILEIRO DE PESQUISAS FISICAS	33018	3306	33	3	1	0	3	3	1	0	0	0	1	12	1	0	25
502700000001	INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE PERNAMBUCO	26017	2605	26	6	0	1	7	0	1	1	0	0	1	0	0	0	17
000800000994	CLINICA REUMATOLOGICA	31030	3107	31	11	4	19	11	6	3	2	9	0	7	2	17	2	93
032700000001	UNIVERSIDADE FEDERAL DE SANTA MARIA	43018	4303	43	33	7	42	33	26	10	20	16	0	16	13	37	18	271
033100000009	UNIVERSIDADE FEDERAL DE ALAGOAS	27011	2703	27	20	4	14	10	15	5	13	5	1	8	11	10	3	119
171500000005	UNIVERSIDADE SAO FRANCISCO	35048	3512	35	2	0	3	0	5	0	0	1	0	4	0	3	4	22
IX2400000007	FACULDADE MERIDIONAL	43010	4301	43	1	2	1	4	1	0	0	1	0	3	0	10	5	28
001600000999	EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA CNPT EMBRAPA TRIGO	43010	4301	43	2	0	12	2	2	1	0	1	0	2	0	8	1	31
011100000008	PONTIFICIA UNIVERSIDADE CATOLICA DO RIO DE JANEIRO	33018	3306	33	4	1	2	35	17	4	28	3	0	4	20	11	22	151
501100000002	UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE	24001	2401	24	4	0	5	2	5	1	1	3	1	2	2	8	2	36
007200000001	UNIVERSIDADE DE FORTALEZA	23016	2303	23	3	2	10	1	3	1	1	5	0	4	0	8	4	42
008200000000	UNIVERSIDADE FEDERAL DO AMAZONAS	13007	1303	13	25	4	13	9	16	4	7	7	0	9	9	10	4	117
342800000000	UNIVERSIDADE ESTADUAL DO CENTRO OESTE	41029	4108	41	15	3	4	11	11	1	6	4	1	3	4	8	2	73
567200000007	UNIVERSIDADE DO VALE DO ITAJAI	42013	4204	42	4	1	3	7	5	2	0	1	1	2	0	4	5	35
I3CJ00000006	UNIVERSIDADE FEDERAL DA GRANDE DOURADOS	50010	5004	50	14	5	6	7	13	1	0	1	0	11	4	4	3	69
460900000006	UNIVERSIDADE FEDERAL DO TOCANTINS	41030	4108	41	19	4	4	4	6	3	1	1	0	10	1	1	2	56
870400000000	CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS	31030	3107	31	2	3	0	4	8	1	15	0	0	0	6	1	2	42
306200000002	UNIVERSIDADE PAULISTA	35020	3504	35	10	4	11	6	3	1	0	4	0	7	0	13	3	62
I22A00000002	UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA	29020	2905	29	15	1	2	7	3	0	0	2	1	6	6	4	3	50
005900000008	UNIVERSIDADE ESTADUAL DE PONTA GROSSA	41021	4105	41	15	6	19	9	18	1	1	6	0	13	8	11	1	108
892700000006	INSTITUTO FEDERAL CATARINENSE	42013	4204	42	14	0	1	1	2	0	2	1	0	7	2	1	1	32
832500000009	UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO	33003	3302	33	26	3	5	14	12	7	0	1	0	11	3	1	2	85
007000000008	UNIVERSIDADE FEDERAL DE SERGIPE	28011	2803	28	21	6	17	17	21	5	3	8	2	9	12	18	4	143
020100000007	CENTRO UNIVERSITARIO UNIVATES	43021	4304	43	6	3	2	2	8	1	1	1	0	2	3	4	2	35
004500000002	UNIVERSIDADE FEDERAL DE PELOTAS	43033	4307	43	25	9	40	15	20	5	11	16	1	18	11	38	10	219
J32200000000	UNIVERSIDADE FEDERAL DA FRONTEIRA SUL	42002	4201	42	12	3	8	13	7	2	0	4	0	9	5	8	4	75
014000000000	COMISSAO NACIONAL DE ENERGIA NUCLEAR	33018	3306	33	6	2	4	12	10	2	2	2	0	1	6	2	1	50
001300000993	INSTITUTO CURICACA	43026	4305	43	9	2	13	2	2	1	2	7	1	3	0	17	6	65
002000000996	DFVNEURO	35061	3515	35	3	1	5	0	0	1	0	1	0	4	2	4	0	21
