ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
867100000004	UNIVERSIDADE FEDERAL DE ALFENAS	31049	3110	31	13	5	12	9	20	1	2	5	0	8	8	16	4	103
121100000001	CENTRO UNIVERSITARIO FRANCISCANO	43018	4303	43	2	2	5	2	5	0	0	3	0	2	3	6	1	31
033400000004	UNIVERSIDADE FEDERAL DE OURO PRETO	31033	3107	31	16	9	19	24	21	6	5	6	2	19	8	9	8	152
024700000000	INSTITUTO ADOLFO LUTZ	35061	3515	35	5	2	11	0	7	0	0	0	0	13	0	1	0	39
198100000000	UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA	41037	4110	41	23	5	8	31	24	6	23	2	0	9	17	11	8	167
010300000003	UNIVERSIDADE FEDERAL DO PARANA	41037	4110	41	36	9	40	33	30	12	16	16	2	20	15	25	18	272
002100000009	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26017	2605	26	35	8	44	29	25	11	37	17	2	22	18	25	20	293
007900000004	UNIVERSIDADE ESTADUAL DE CAMPINAS	35032	3507	35	37	11	61	44	29	17	33	22	2	22	27	44	27	376
033300000002	UNIVERSIDADE FEDERAL DE MINAS GERAIS	31030	3107	31	38	10	61	41	29	15	32	23	5	23	20	51	37	385
087000000006	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	50004	5002	50	21	6	19	13	15	2	10	6	0	14	7	9	10	132
003900000001	FUNDACAO OSWALDO CRUZ	33018	3306	33	29	10	52	15	25	6	22	19	1	23	11	39	12	264
001700000990	CENTRO UNIVERSITARIO ESTACIO DO CEARA UNIDADE VIA CORPVS	23016	2303	23	6	1	13	1	1	0	5	3	0	6	1	12	1	50
033700000000	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	24018	2404	24	30	9	36	22	24	6	21	18	0	13	15	23	15	232
000300000006	UNIVERSIDADE FEDERAL DE LAVRAS	31057	3111	31	30	6	9	25	19	7	12	5	2	11	5	9	6	146
006700000002	UNIVERSIDADE DE SAO PAULO	35061	3515	35	41	11	66	54	31	22	39	27	9	23	28	60	45	456
019200000005	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	43026	4305	43	36	9	55	47	29	16	32	17	2	23	21	47	32	366
004300000009	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42016	4205	42	38	9	41	38	29	14	25	18	2	22	21	35	29	321
032900000005	UNIVERSIDADE ESTADUAL DE MARINGA	41009	4103	41	27	6	20	19	20	4	7	6	1	16	12	17	14	169
024000000008	UNIVERSIDADE DE BRASILIA	53001	5301	53	32	9	36	30	27	14	23	18	5	20	16	37	28	295
020200000009	UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	33018	3306	33	36	10	54	47	29	16	32	24	6	22	26	48	32	382
008400000003	INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA	13007	1303	13	31	4	3	2	7	4	1	2	0	6	0	2	2	64
061400000000	UNIVERSIDADE DE PERNAMBUCO	26017	2605	26	11	3	20	4	4	1	8	8	1	5	3	14	4	86
032600000000	UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO	33018	3306	33	27	9	53	29	21	15	17	20	3	17	16	42	21	290
000600000001	PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL	43026	4305	43	27	7	48	10	20	12	16	21	1	17	10	40	16	245
081100000009	UNIVERSIDADE DE CAXIAS DO SUL	43016	4302	43	8	6	10	12	5	2	9	4	0	7	4	7	6	80
033500000006	UNIVERSIDADE FEDERAL DE SAO CARLOS	42002	4201	42	38	10	30	31	28	13	16	18	2	18	20	23	24	271
033200000000	UNIVERSIDADE FEDERAL DE MATO GROSSO	51007	5101	51	29	6	16	15	19	6	5	5	1	13	11	16	6	148
192900000005	UNIVERSIDADE DO ESTADO DO PARA	27005	2702	27	5	1	7	0	1	2	0	3	0	4	2	2	0	27
001200000991	HOSPITAL UNIVERSITARIO MARIA APARECIDA PEDROSSIAN	50004	5002	50	12	2	20	1	4	2	0	8	0	6	0	9	2	66
009200000008	EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA	53001	5301	53	33	9	5	19	17	6	8	5	0	17	4	6	8	137
807700000001	UNIVERSIDADE CRUZEIRO DO SUL	35061	3515	35	1	1	7	0	1	0	1	6	0	5	7	11	0	40
000200000993	INSTITUTO DE MEDICINA INTEGRAL PROF FERNANDO FIGUEIRA	26017	2605	26	34	10	53	20	20	12	9	20	1	21	13	42	13	268
029100000000	UNIVERSIDADE FEDERAL DA BAHIA	29021	2905	29	24	4	34	22	22	6	11	12	0	17	19	20	19	210
008000000006	UNIVERSIDADE ESTADUAL DE LONDRINA	41011	4103	41	24	7	28	15	15	3	9	9	0	19	11	22	8	170
008900000002	UNIVERSIDADE FEDERAL DO CEARA	23016	2303	23	24	9	33	29	22	8	22	11	1	17	17	25	21	239
004400000000	UNIVERSIDADE FEDERAL DO PARA	27005	2702	27	30	6	18	19	14	11	10	9	0	16	7	13	15	168
080400000006	UNIVERSIDADE FEDERAL DE JUIZ DE FORA	31065	3112	31	20	3	27	8	19	1	12	8	1	16	15	22	15	167
117700000004	UNIVERSIDADE DO GRANDE RIO	33018	3306	33	7	3	8	0	0	0	1	2	0	8	0	6	2	37
038400000005	HOSPITAL DE CLINICAS DE PORTO ALEGRE	43026	4305	43	4	2	48	0	3	0	0	16	0	14	1	21	2	111
004100000005	CENTRO NACIONAL DE PESQUISA EM ENERGIA E MATERIAIS	35032	3507	35	18	10	21	11	22	9	1	7	0	11	12	6	3	131
006200000003	UNIVERSIDADE FEDERAL DE SAO PAULO	35061	3515	35	27	8	64	20	25	5	7	25	5	21	12	51	16	286
000500000999	CARDIOCENTRO CLINICA DE DOENCAS DO CORACAO	24018	2404	24	17	6	50	16	12	4	1	19	1	17	2	31	9	185
033000000007	UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO	35026	3506	35	41	10	54	45	30	16	32	21	4	22	24	37	23	359
002500000006	CENTRO BRASILEIRO DE PESQUISAS FISICAS	33018	3306	33	13	4	19	5	13	11	1	6	0	10	15	6	0	103
502700000001	INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE PERNAMBUCO	26017	2605	26	4	1	1	4	2	0	2	0	0	0	1	0	1	16
000800000994	CLINICA REUMATOLOGICA	31030	3107	31	16	6	27	9	6	1	2	7	0	11	4	17	3	109
032700000001	UNIVERSIDADE FEDERAL DE SANTA MARIA	43018	4303	43	34	10	25	23	24	6	7	15	2	17	9	17	12	201
033100000009	UNIVERSIDADE FEDERAL DE ALAGOAS	27011	2703	27	23	4	15	22	16	7	10	5	0	8	11	12	7	140
171500000005	UNIVERSIDADE SAO FRANCISCO	35048	3512	35	0	3	9	0	7	0	0	2	0	1	0	4	5	31
IX2400000007	FACULDADE MERIDIONAL	43010	4301	43	1	1	1	4	0	0	0	1	0	1	1	5	6	21
001600000999	EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA CNPT EMBRAPA TRIGO	43010	4301	43	4	1	14	0	3	1	0	4	0	5	0	6	5	43
011100000008	PONTIFICIA UNIVERSIDADE CATOLICA DO RIO DE JANEIRO	33018	3306	33	8	0	2	28	18	4	18	4	6	3	17	19	22	149
501100000002	UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE	24001	2401	24	2	0	2	3	1	1	1	1	0	3	5	4	1	24
007200000001	UNIVERSIDADE DE FORTALEZA	23016	2303	23	4	3	11	5	4	0	7	6	1	6	1	10	7	65
008200000000	UNIVERSIDADE FEDERAL DO AMAZONAS	13007	1303	13	24	6	12	11	15	6	11	4	0	6	11	13	5	124
342800000000	UNIVERSIDADE ESTADUAL DO CENTRO OESTE	41029	4108	41	12	3	6	8	10	1	1	5	0	7	3	9	4	69
567200000007	UNIVERSIDADE DO VALE DO ITAJAI	42013	4204	42	5	1	5	7	11	2	0	2	0	1	1	4	4	43
I3CJ00000006	UNIVERSIDADE FEDERAL DA GRANDE DOURADOS	50010	5004	50	17	4	5	8	13	2	0	1	0	10	5	5	3	73
460900000006	UNIVERSIDADE FEDERAL DO TOCANTINS	41030	4108	41	17	3	5	8	11	1	0	5	1	7	4	5	2	69
870400000000	CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS	31030	3107	31	7	2	0	9	12	2	13	1	0	3	6	5	1	61
306200000002	UNIVERSIDADE PAULISTA	35020	3504	35	10	2	9	4	8	2	6	9	0	11	3	17	3	84
I22A00000002	UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA	29020	2905	29	22	2	3	5	5	2	0	1	0	9	6	6	1	62
005900000008	UNIVERSIDADE ESTADUAL DE PONTA GROSSA	41021	4105	41	13	6	5	12	15	2	0	4	1	6	10	10	1	85
892700000006	INSTITUTO FEDERAL CATARINENSE	42013	4204	42	11	2	0	2	8	1	2	1	0	6	5	1	0	39
832500000009	UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO	33003	3302	33	23	7	3	17	13	4	1	4	2	13	4	1	2	94
