ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
584200000007	UNIVERSIDADE DO ESTADO DA BAHIA	29032	2907	29	70	7	63	14	40	16	21	10	1	35	12	45	10	344
JLDY00000007	UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARA	15020	1506	15	27	3	0	15	27	6	2	1	0	12	7	10	7	117
024800000002	INSTITUTO AGRONOMICO DE CAMPINAS	35032	3507	35	82	23	15	22	35	5	0	4	0	33	1	3	4	227
059100000002	UNIVERSIDADE FEDERAL DE ITAJUBA	31031	3107	31	29	17	29	94	65	19	61	5	0	17	63	18	23	440
749000000008	UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA	29024	2906	29	102	15	35	25	61	6	4	19	4	40	20	60	8	399
020700000008	PONTIFICIA UNIVERSIDADE CATOLICA DO PARANA	41037	4110	41	50	22	138	73	33	3	47	35	8	72	26	126	48	681
884900000009	INSTITUTO EVANDRO CHAGAS	15007	1503	15	31	8	18	3	3	0	0	14	0	58	1	4	1	141
J2HF00000009	UNIVERSIDADE FEDERAL DO OESTE DO PARA	15002	1501	15	108	21	68	30	36	25	4	27	0	70	20	10	7	426
IZCF00000003	UNIVERSIDADE FEDERAL DO PAMPA	43031	4306	43	114	32	91	56	86	30	20	31	0	70	37	62	21	650
J4D600000002	UNIVERSIDADE DA INTEGRACAO INTERNACIONAL DA LUSOFONIA AFRO BRASILEIRA	23013	2302	23	34	14	28	11	34	7	10	7	2	23	11	22	7	210
J8LU00000004	FUNDACAO PIO XII	35009	3502	35	23	10	109	4	16	11	1	29	0	32	9	52	5	301
047500000006	INSTITUTO FEDERAL SUL RIO GRANDENSE	43026	4305	43	21	5	4	35	28	3	8	6	0	10	12	12	9	153
201100000003	FUNDACAO ANTONIO PRUDENTE	35061	3515	35	24	21	168	1	17	0	0	43	0	66	7	40	1	388
810400000006	UNIVERSIDADE TIRADENTES	28011	2803	28	22	14	29	30	43	2	0	6	0	13	0	28	1	188
J1OR00000000	INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO SUL DE MINAS GERAIS	31048	3110	31	41	11	12	24	28	6	2	7	1	25	6	21	4	188
002100000998	LABORATORIO NACIONAL DE TECNOLOGIA DO BIOETANOL	35032	3507	35	15	13	38	6	4	7	5	8	0	21	2	29	3	151
