ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
867100000004	UNIVERSIDADE FEDERAL DE ALFENAS	31049	3110	31	11	5	13	8	18	2	2	4	0	8	5	12	1	89
121100000001	CENTRO UNIVERSITARIO FRANCISCANO	43018	4303	43	5	2	4	3	6	0	0	0	0	3	2	10	2	37
033400000004	UNIVERSIDADE FEDERAL DE OURO PRETO	31033	3107	31	15	6	18	14	20	5	3	4	1	9	12	10	5	122
024700000000	INSTITUTO ADOLFO LUTZ	35061	3515	35	4	1	10	0	5	0	0	1	0	11	0	2	0	34
198100000000	UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA	41037	4110	41	24	7	8	32	25	5	23	3	1	9	13	8	6	164
010300000003	UNIVERSIDADE FEDERAL DO PARANA	41037	4110	41	40	9	36	34	24	15	15	16	5	19	17	31	17	278
002100000009	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26017	2605	26	38	9	37	31	27	15	23	18	1	17	20	33	27	296
007900000004	UNIVERSIDADE ESTADUAL DE CAMPINAS	35032	3507	35	37	11	58	42	30	18	37	23	7	22	27	58	31	401
033300000002	UNIVERSIDADE FEDERAL DE MINAS GERAIS	31030	3107	31	34	11	57	41	28	19	27	24	8	23	22	54	26	374
087000000006	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	50004	5002	50	33	8	28	10	23	12	9	8	0	17	10	16	6	180
003900000001	FUNDACAO OSWALDO CRUZ	33018	3306	33	27	11	52	12	23	12	3	20	2	22	7	43	10	244
001700000990	CENTRO UNIVERSITARIO ESTACIO DO CEARA UNIDADE VIA CORPVS	23016	2303	23	3	0	14	0	5	1	0	2	0	6	0	7	1	39
033700000000	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	24018	2404	24	31	9	35	31	23	13	21	14	2	19	12	21	11	242
000300000006	UNIVERSIDADE FEDERAL DE LAVRAS	31057	3111	31	35	8	22	19	21	12	10	10	0	20	12	11	4	184
006700000002	UNIVERSIDADE DE SAO PAULO	35061	3515	35	38	11	65	59	31	21	40	26	7	23	28	57	50	456
019200000005	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	43026	4305	43	39	11	56	47	28	17	33	25	3	23	22	48	44	396
004300000009	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42016	4205	42	34	11	46	45	25	11	30	21	1	22	25	46	31	348
032900000005	UNIVERSIDADE ESTADUAL DE MARINGA	41009	4103	41	27	8	14	21	22	3	5	6	1	16	10	22	15	170
