ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
867100000004	UNIVERSIDADE FEDERAL DE ALFENAS	31049	3110	31	19	8	28	12	19	12	1	8	0	13	12	13	2	147
121100000001	CENTRO UNIVERSITARIO FRANCISCANO	43018	4303	43	2	0	5	1	7	0	0	2	0	3	4	10	3	37
033400000004	UNIVERSIDADE FEDERAL DE OURO PRETO	31033	3107	31	17	5	5	19	21	9	3	6	0	6	5	8	8	112
024700000000	INSTITUTO ADOLFO LUTZ	35061	3515	35	2	1	11	0	8	0	0	0	0	12	1	4	1	40
198100000000	UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA	41037	4110	41	17	6	8	27	25	4	24	3	0	5	13	9	10	151
010300000003	UNIVERSIDADE FEDERAL DO PARANA	41037	4110	41	39	10	45	33	27	9	20	14	3	22	16	22	17	277
002100000009	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26017	2605	26	35	10	55	29	28	17	38	20	4	18	22	39	21	336
007900000004	UNIVERSIDADE ESTADUAL DE CAMPINAS	35032	3507	35	37	9	58	41	29	18	40	21	5	22	26	40	29	375
033300000002	UNIVERSIDADE FEDERAL DE MINAS GERAIS	31030	3107	31	35	10	56	40	26	16	29	22	2	22	22	54	34	368
087000000006	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	50004	5002	50	19	5	12	9	13	2	8	4	0	12	8	12	6	110
003900000001	FUNDACAO OSWALDO CRUZ	33018	3306	33	31	10	57	5	23	12	8	19	1	23	10	41	10	250
001700000990	CENTRO UNIVERSITARIO ESTACIO DO CEARA UNIDADE VIA CORPVS	23016	2303	23	4	2	13	0	0	1	0	1	0	6	1	11	0	39
033700000000	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	24018	2404	24	28	9	33	18	21	10	14	17	1	19	13	23	11	217
000300000006	UNIVERSIDADE FEDERAL DE LAVRAS	31057	3111	31	27	6	6	11	17	2	8	4	0	11	5	10	8	115
006700000002	UNIVERSIDADE DE SAO PAULO	35061	3515	35	41	11	67	50	31	19	43	25	6	23	28	62	44	450
019200000005	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	43026	4305	43	37	11	49	44	26	15	21	21	5	21	18	51	32	351
004300000009	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42016	4205	42	32	10	50	42	27	6	29	21	3	21	18	45	30	334
