Ano	ID_do_estado	Nome_do_estado	Valor_bruto_agropecuaria	Valor_bruto_industria	Valor_bruto_servicos	Valor_bruto_administracao	Valor_bruto_total	Impostos	PIB	Populacao	PIB_per_capita
2010	11	Rondônia	2295534.0	4779254.0	8011721.0	5870443.0	20956958.0	2950930.0	23907884.0	1560501.0	616767.2900000002
2010	12	Acre	784373.0	1091622.0	2926812.0	2761745.0	7564552.0	777801.0	8342356.0	732793.0	183570.99000000002
2010	13	Amazonas	2219360.0	21495794.0	17887559.0	8781504.0	50384213.0	10494771.0	60877125.0	3480937.0	358896.8399999999
2010	14	Roraima	148649.0	818734.0	2122912.0	2977034.0	6067326.0	571823.0	6639150.0	451227.0	143732.65
2010	15	Pará	8076833.0	26792382.0	26821223.0	13830930.0	75521361.0	7163159.0	82684518.0	7603239.0	1103393.7600000002
2010	16	Amapá	196012.0	583106.0	3149816.0	3672783.0	7601713.0	636080.0	8237794.0	668689.0	162177.90000000002
2010	17	Tocantins	1739792.0	3104557.0	5475254.0	4489584.0	14809174.0	1595636.0	16404814.0	1383453.0	1304745.6000000008
2010	21	Maranhão	4537928.0	6883370.0	19232106.0	10457668.0	41111060.0	5198572.0	46309630.0	6569683.0	986381.6900000002
2010	22	Piauí	1179319.0	3202747.0	8793631.0	6494544.0	19670257.0	2598897.0	22269147.0	3119015.0	1015584.1700000004
2010	23	Ceará	3495909.0	15177896.0	34074267.0	16430307.0	69178380.0	10157919.0	79336306.0	8448055.0	990756.8799999997
2010	24	Rio Grande do Norte	1148614.0	7683080.0	14253229.0	9064265.0	32149189.0	4035315.0	36184501.0	3168133.0	1208142.11
2010	25	Paraíba	1384256.0	5436504.0	12653192.0	10379284.0	29853245.0	3669259.0	33522490.0	3766834.0	1241073.8199999994
2010	26	Pernambuco	3962414.0	18191733.0	40414575.0	20383776.0	82952490.0	14237263.0	97189752.0	8796032.0	1222282.8800000001
2010	27	Alagoas	2911128.0	4708286.0	10091646.0	6629178.0	24340235.0	2792813.0	27133035.0	3120922.0	610030.89
2010	28	Sergipe	1511775.0	6858591.0	9004885.0	6311582.0	23686840.0	2718062.0	26404894.0	2068031.0	828733.2800000004
2010	29	Bahia	10709345.0	36739893.0	62199712.0	25766045.0	135415002.0	19004534.0	154419544.0	14021432.0	2914807.9600000023
2010	31	Minas Gerais	17085914.0	101270560.0	140770075.0	46047427.0	305173965.0	45949428.0	351123420.0	19595309.0	9610649.31
2010	32	Espírito Santo	2243199.0	26949550.0	29493031.0	11132150.0	69817929.0	15492358.0	85310281.0	3512672.0	1505207.64
2010	33	Rio de Janeiro	1534566.0	113193367.0	195662514.0	69021555.0	379412008.0	70490047.0	449858101.0	15993583.0	2562101.2499999986
2010	35	São Paulo	22631445.0	290102471.0	656454255.0	102652221.0	1071840405.0	222918106.0	1294695991.0	41252160.0	12514360.909999996
2010	41	Paraná	17801324.0	54221383.0	97169280.0	23732561.0	192924564.0	32280691.0	225205247.0	10439601.0	6015933.2299999995
2010	42	Santa Catarina	8942408.0	42611870.0	62085772.0	16829602.0	130469649.0	23256353.0	153726009.0	6249682.0	5742000.229999996
2010	43	Rio Grande do Sul	17162693.0	57499410.0	102427757.0	28712843.0	205802717.0	35446446.0	241249165.0	10695532.0	9459951.88
2010	50	Mato Grosso do Sul	7151613.0	9380763.0	16777300.0	8186337.0	41496011.0	5774644.0	47270652.0	2449341.0	1553416.7999999998
2010	51	Mato Grosso	8373223.0	9770834.0	22575613.0	9054876.0	49774544.0	6826407.0	56600957.0	3033991.0	2308241.1699999985
2010	52	Goiás	10376551.0	26426092.0	42117307.0	14326051.0	93245996.0	13524107.0	106770107.0	6004045.0	3913607.6200000006
2010	53	Distrito Federal	327805	9184149	58259561	53848708	121620223	22553879	144174102	2562963	56252.90
