idDaInstituicao	anoDePublicacao	total
754000000004-11	2015	56
754000000004-11	2013	62
833700000000-31	2012	38
008300000001-25	2015	963
008300000001-25	2014	984
033600000008-31	2015	1693
033600000008-31	2014	1885
033600000008-31	2013	1944
033600000008-31	2012	1838
033600000008-31	2011	1894
033600000008-31	2010	1753
985601346269-31	2012	1
985601346269-31	2011	3
530400000001-31	2012	31
530400000001-31	2010	26
001500000008-31	2012	1154
021100000005-33	2012	539
000400000997-31	2014	32
584200000007-29	2014	67
584200000007-29	2011	93
033500000006-42	2013	1353
033500000006-42	2010	1191
413700000000-31	2010	30
832500000009-33	2015	431
173800000007-31	2014	27
173800000007-31	2012	21
173800000007-31	2011	15
985600908867-31	2013	3
032300000004-22	2013	480
JLDY00000007-15	2010	16
024800000002-35	2010	202
059100000002-31	2010	217
000300000995-33	2010	36
029100000000-29	2015	995
059100000002-31	2015	174
059100000002-31	2014	181
059100000002-31	2013	206
059100000002-31	2012	175
059100000002-31	2011	201
584200000007-29	2010	80
I22A00000002-29	2013	162
I22A00000002-29	2012	156
104300000005-35	2014	10
104300000005-35	2012	15
985600126826-42	2013	11
033500000006-35	2014	280
033500000006-35	2013	161
807700000001-35	2011	79
004500000002-43	2013	2384
749000000008-29	2013	210
749000000008-29	2010	203
002500000995-41	2015	8
002500000995-41	2014	4
002500000995-41	2013	2
002500000995-41	2012	4
020700000008-41	2015	295
020700000008-41	2013	335
020700000008-41	2011	330
198100000000-42	2013	22
198100000000-42	2012	18
005900000008-41	2015	438
005900000008-41	2014	428
005900000008-41	2010	271
884900000009-15	2011	109
J2HF00000009-15	2012	69
008700000009-43	2014	4
J1TW00000002-35	2014	12
J1TW00000002-35	2012	7
004400000000-27	2015	767
516400000006-33	2012	7
516400000006-33	2010	3
JA2300000000-35	2013	15
008000000006-41	2015	890
J1WM00000005-33	2014	22
J1WM00000005-33	2013	10
J1WM00000005-33	2012	14
J1WM00000005-33	2011	25
J1WM00000005-33	2010	19
431200000000-43	2013	47
001700000990-41	2013	5
001700000990-41	2012	8
001700000990-41	2010	5
IZCF00000003-43	2014	372
IZCF00000003-43	2013	331
IZCF00000003-43	2012	283
IZCF00000003-43	2011	298
IZCF00000003-43	2010	271
311500000004-53	2010	15
009200000008-43	2014	159
020700000008-41	2012	843
000500000999-35	2015	114
J4D600000002-23	2012	93
009200000008-26	2015	47
009200000008-26	2014	61
009200000008-26	2013	56
009200000008-26	2012	73
009200000008-26	2011	63
009200000008-26	2010	68
985600435462-35	2012	4
J8LU00000004-35	2015	91
J8LU00000004-35	2014	72
000200000993-42	2010	17
047500000006-43	2014	41
201100000003-35	2015	216
201100000003-35	2014	285
201100000003-35	2013	258
201100000003-35	2012	243
898800000007-53	2010	3
008000000006-41	2011	859
810400000006-28	2014	74
810400000006-28	2013	83
J1OR00000000-31	2011	48
J1OR00000000-31	2010	67
005900000008-41	2011	359
002100000998-35	2015	28
002100000998-35	2014	26
002100000998-35	2013	36
002100000998-35	2012	40
002100000998-35	2011	43
002100000998-35	2010	23
081500000006-35	2015	71
081500000006-35	2014	75
081500000006-35	2010	68
008300000001-25	2012	1054
460900000006-17	2013	124
460900000006-17	2011	105
460900000006-17	2010	95
892700000006-42	2014	82
J1OU00000008-33	2015	21
J1OU00000008-33	2014	21
J1OU00000008-33	2013	11
IWU400000003-35	2014	635
IWU400000003-35	2012	489
IWU400000003-35	2010	477
377800000002-32	2014	68
003900000001-31	2015	246
003900000001-31	2014	303
003900000001-31	2013	216
003900000001-31	2012	190
003900000001-31	2011	390
003900000001-31	2010	187
000200000993-43	2015	40
000200000993-43	2014	38
000200000993-43	2012	50
000200000993-43	2010	35
IWU400000003-35	2011	601
000700000992-35	2014	51
081100000009-43	2010	188
000500000000-33	2013	1485
670900000006-50	2015	2
004400000000-15	2013	205
004400000000-15	2012	131
024000000008-53	2011	1548
024000000008-53	2010	1585
J1OR00000000-31	2015	46
001400000995-33	2013	18
001400000995-33	2012	8
001400000995-33	2011	6
008200000000-13	2013	300
000200000993-35	2012	492
000200000993-35	2011	513
000300000995-33	2014	30
000300000995-33	2013	68
IWU400000003-35	2015	607
009200000008-35	2015	61
009200000008-35	2014	211
009200000008-35	2012	101
009200000008-23	2013	66
007700000000-33	2014	293
007700000000-33	2012	287
007700000000-33	2010	261
006100000001-35	2015	42
006100000001-35	2012	50
J8LU00000004-35	2012	56
J8LU00000004-35	2010	29
016700000000-43	2013	586
810400000006-28	2015	82
810400000006-28	2012	66
000300000995-35	2013	185
000300000995-35	2012	236
829000000000-31	2011	154
501600000001-43	2015	90
501600000001-43	2014	152
501600000001-43	2013	141
501600000001-43	2012	138
501600000001-43	2011	99
501600000001-43	2010	175
169700000007-33	2014	215
551400000004-35	2013	22
551400000004-35	2012	32
551400000004-35	2011	27
117800000006-31	2010	112
023100000001-41	2015	42
023100000001-41	2014	78
023100000001-41	2012	60
023100000001-41	2010	86
009200000008-33	2014	133
009200000008-33	2012	187
J1HP00000001-41	2012	70
158700000001-31	2015	115
158700000001-31	2013	62
553800000008-41	2013	411
033500000006-35	2015	168
319000000000-42	2011	64
894500000009-16	2012	42
J3Y700000005-50	2013	20
J3Y700000005-50	2010	25
J03D00000008-33	2010	1
460900000006-41	2010	35
553800000008-41	2011	363
502700000001-26	2010	25
061500000001-35	2014	37
061500000001-35	2010	40
007000000008-28	2014	717
000500000000-33	2014	1460
416900000009-50	2010	2
823700000003-41	2014	85
823700000003-41	2012	87
823700000003-41	2010	56
505800000008-21	2015	72
001400000995-31	2013	7
020700000008-41	2014	359
020700000008-41	2010	299
001800000003-35	2010	20
007100000000-35	2010	77
985600191016-32	2012	2
061500000001-35	2015	44
121100000001-43	2015	38
121100000001-43	2014	54
121100000001-43	2012	49
001800000992-31	2013	4
001800000992-31	2012	5
001800000992-31	2010	6
000200000993-43	2011	39
000400000997-35	2015	145
000400000997-35	2013	143
000400000997-35	2012	191
000400000997-35	2011	183
000400000997-35	2010	173
841500000008-51	2015	266
841500000008-51	2014	159
841500000008-51	2013	240
841500000008-51	2012	97
841500000008-51	2011	106
000400000008-33	2015	40
000400000008-33	2013	49
000400000008-33	2012	40
000400000008-33	2011	48
000200000993-52	2014	3
158700000001-31	2014	76
158700000001-31	2012	99
158700000001-31	2011	83
158700000001-31	2010	46
009200000008-35	2013	107
009200000008-35	2011	82
009200000008-35	2010	95
000100000002-21	2014	416
309500000002-43	2013	68
309500000002-43	2012	58
169700000007-33	2013	215
GBIM00000005-35	2012	5
001600000999-24	2014	1
001600000999-24	2011	1
121100000001-43	2011	44
080300000004-50	2010	96
008300000001-25	2013	1219
623800000002-43	2014	41
623800000002-43	2013	56
623800000002-43	2010	61
002000000996-13	2014	1
002000000996-13	2011	2
002000000996-13	2010	3
021100000005-33	2010	514
002100000009-26	2012	1819
832500000009-33	2011	459
489200000001-35	2015	7
874100000007-35	2015	32
874100000007-35	2014	34
874100000007-35	2013	31
874100000007-35	2012	41
874100000007-35	2011	39
874100000007-35	2010	26
032600000000-33	2011	2275
008200000000-13	2014	307
007000000008-28	2013	652
007000000008-28	2010	523
J4D600000002-23	2015	41
J4D600000002-23	2014	53
J4D600000002-23	2013	46
J4D600000002-23	2010	56
033100000009-27	2013	386
198100000000-41	2011	547
027500000001-33	2013	42
027500000001-33	2012	49
JL8W00000004-29	2015	71
JL8W00000004-29	2011	54
020100000007-43	2015	97
001200000991-35	2014	45
001200000991-35	2010	47
456700000004-43	2015	7
456700000004-43	2014	13
456700000004-43	2013	8
456700000004-43	2012	14
478500000001-35	2011	13
014000000000-26	2015	10
014000000000-26	2013	16
014000000000-26	2012	11
014000000000-26	2010	12
002100000009-26	2013	1791
001400000995-53	2014	5
001400000995-53	2010	6
J3UC00000003-41	2013	61
087000000006-50	2015	431
087000000006-50	2010	367
J00Z00000007-35	2013	12
051400000002-35	2012	182
051400000002-35	2010	108
067900000008-33	2014	83
067900000008-33	2012	83
067900000008-33	2010	57
008300000001-25	2010	870
822900000009-42	2010	107
014000000000-35	2015	96
014000000000-35	2014	154
014000000000-35	2013	136
014000000000-35	2012	161
014000000000-35	2010	277
516400000006-33	2013	4
516400000006-33	2011	3
J04H00000003-29	2014	3
067900000008-33	2013	146
067900000008-33	2011	68
000900000996-29	2011	2
J0BF00000005-33	2012	3
154800000000-35	2015	4
154800000000-35	2014	11
154800000000-35	2013	7
000500000999-33	2012	15
894500000009-16	2015	94
894500000009-16	2014	90
431100000008-13	2015	68
431100000008-13	2013	83
431100000008-13	2012	65
431100000008-13	2011	61
431100000008-13	2010	154
024800000002-35	2013	189
JL8W00000004-29	2013	81
000200000004-31	2013	334
000200000004-31	2012	378
000200000004-31	2010	309
J0T000000001-35	2015	248
J0T000000001-35	2014	34
J0T000000001-35	2013	14
J0T000000001-35	2012	10
071500000009-35	2015	48
071500000009-35	2013	70
071500000009-35	2012	68
087900000002-43	2014	190
087900000002-43	2013	121
087900000002-43	2012	161
173400000000-26	2015	17
769300000008-35	2015	158
769300000008-35	2014	175
769300000008-35	2013	164
769300000008-35	2012	148
000800000994-35	2015	64
000800000994-35	2014	67
000800000994-35	2013	94
000800000994-35	2012	81
000800000994-35	2011	79
000300000995-29	2013	23
000300000995-29	2010	20
985600088568-51	2014	12
985600088568-51	2013	6
117800000006-31	2013	140
001400000995-23	2013	3
IYJ200000008-35	2015	8
IYJ200000008-35	2014	4
154100000008-23	2015	52
577300000006-26	2012	136
577300000006-26	2011	119
226100000009-52	2013	43
431900000002-25	2015	188
431900000002-25	2014	196
431900000002-25	2013	159
431900000002-25	2012	155
431900000002-25	2011	180
431900000002-25	2010	128
040000000000-26	2012	1
505800000008-21	2013	61
505800000008-21	2012	76
579700000000-35	2014	10
032300000004-22	2010	348
001300000993-35	2015	32
001300000993-35	2012	22
001300000993-35	2011	35
001300000993-35	2010	25
021700000006-24	2013	218
363100000000-29	2012	319
GFKK00000005-43	2013	4
506700000004-35	2014	72
IYZQ00000002-41	2015	16
009200000008-41	2015	101
009200000008-41	2014	126
009200000008-41	2012	155
024800000002-35	2014	181
281500000009-24	2015	32
281500000009-24	2012	28
281500000009-24	2011	31
281500000009-24	2010	27
000700000992-28	2014	2
000700000992-28	2013	1
000700000992-28	2012	2
423400000002-43	2013	25
829000000000-31	2014	202
000600000990-53	2013	27
000600000990-53	2012	23
009200000008-52	2012	72
001900000994-42	2014	1
001500000997-43	2014	11
350700000009-33	2014	69
350700000009-33	2013	115
000200000993-35	2014	396
IZCF00000003-43	2015	324
864100000000-42	2012	1
021200000007-32	2014	24
021200000007-32	2012	21
033800000001-26	2013	700
033800000001-26	2010	693
004400000000-27	2012	666
475600000009-43	2014	131
475600000009-43	2011	75
I25800000001-42	2013	4
I25800000001-42	2012	3
009200000008-33	2011	181
009200000008-33	2010	162
201100000003-35	2011	300
201100000003-35	2010	231
008300000001-25	2011	1013
577300000006-26	2014	124
065800000000-35	2012	430
032100000000-35	2012	302
J8XE00000008-35	2010	2
810400000006-28	2011	45
426500000009-22	2013	18
014000000000-33	2015	44
014000000000-33	2014	61
014000000000-33	2012	100
014000000000-33	2011	85
080800000003-31	2010	10
408800000006-35	2012	159
869700000001-33	2014	2
002000000996-41	2013	2
002000000996-41	2010	4
985600042835-35	2015	22
985600042835-35	2013	17
985600042835-35	2011	18
410300000009-33	2014	80
410300000009-33	2013	147
410300000009-33	2012	100
410300000009-33	2010	72
118000000000-35	2011	24
004400000000-27	2011	789
013100000004-43	2015	12
013100000004-43	2014	22
013100000004-43	2013	14
033800000001-26	2014	659
JIDJ00000007-29	2012	31
IW9W00000003-29	2013	37
J32200000000-41	2015	41
J32200000000-41	2014	30
J32200000000-41	2013	53
J32200000000-41	2010	60
000200000993-26	2014	32
000200000993-26	2013	41
000200000993-26	2011	39
000200000993-26	2010	44
JLDY00000007-15	2013	31
JLDY00000007-15	2011	27
063400000006-29	2014	1
169700000007-33	2015	164
169700000007-33	2011	192
169700000007-33	2010	174
884900000009-15	2015	81
884900000009-15	2012	106
884900000009-15	2010	73
000200000993-43	2013	64
009200000008-31	2015	112
009200000008-31	2013	113
009200000008-31	2011	168
009200000008-31	2010	165
024700000000-35	2014	152
024700000000-35	2011	240
J1D700000002-32	2012	19
J1D700000002-32	2011	16
000100000002-21	2011	327
579200000000-25	2010	1
529700000003-29	2010	11
061500000001-35	2013	47
061500000001-35	2012	29
061500000001-35	2011	55
J1RB00000004-27	2015	6
J1RB00000004-27	2014	3
000700000992-35	2013	82
000700000992-35	2012	62
000700000992-35	2011	62
179800000006-41	2010	27
072300000003-43	2015	2
119300000003-42	2012	378
016700000000-43	2015	594
653900000006-35	2013	23
087000000006-50	2013	415
000500000999-31	2014	18
000500000999-31	2011	14
000500000999-31	2010	18
408900000008-31	2015	334
408900000008-31	2014	391
408900000008-31	2012	305
408900000008-31	2011	352
408900000008-31	2010	237
J8LU00000004-35	2013	151
J22Z00000008-33	2012	4
009200000008-31	2012	141
002900000003-27	2012	96
282200000001-35	2012	1
000200000993-35	2015	266
000200000993-35	2013	430
0Y1Y00000005-53	2010	10
000200000993-31	2015	36
000200000993-31	2014	65
000200000993-31	2013	53
001100000990-41	2011	3
446900000000-25	2013	393
554300000007-53	2014	141
554300000007-53	2013	194
554300000007-53	2012	197
119300000003-42	2011	368
033500000006-35	2010	121
930846000007-24	2015	1
930846000007-24	2014	8
930846000007-24	2013	1
066900000000-26	2013	137
066900000000-26	2012	104
001100000990-31	2015	8
000900000996-26	2014	3
080400000006-31	2013	788
554300000007-53	2015	134
554300000007-53	2011	216
554300000007-53	2010	279
087900000002-43	2010	143
038400000005-43	2013	552
J32200000000-42	2011	30
107400000001-35	2015	128
107400000001-35	2014	140
107400000001-35	2013	127
107400000001-35	2012	247
107400000001-35	2011	176
107400000001-35	2010	157
081100000009-43	2013	196
000600000990-35	2013	121
000600000990-35	2012	81
000600000990-35	2011	100
014000000000-52	2011	3
J7D500000002-35	2011	5
119300000003-42	2013	393
107000000004-35	2015	54
107000000004-35	2011	37
000200000993-41	2015	40
000200000993-41	2014	58
000200000993-41	2012	57
000200000993-41	2010	73
021100000005-33	2015	431
009200000008-22	2014	22
009200000008-22	2013	24
003100000996-35	2015	77
003100000996-35	2014	3
003100000996-35	2012	2
003100000996-35	2011	44
003100000996-35	2010	2
117800000006-31	2012	158
626000000002-31	2013	21
626000000002-31	2012	17
626000000002-31	2011	16
032100000000-35	2015	561
032100000000-35	2014	263
016700000000-43	2014	599
016700000000-43	2012	521
J3UC00000003-41	2014	48
J3UC00000003-41	2012	56
J3UC00000003-41	2010	57
506700000004-35	2015	79
506700000004-35	2012	68
IVM800000000-42	2010	7
930820000000-15	2013	17
J41C00000009-35	2013	47
J41C00000009-35	2012	21
J41C00000009-35	2010	51
038400000005-43	2014	558
286700000003-35	2011	36
J8E800000003-33	2014	116
J8E800000003-33	2013	34
J8E800000003-33	2011	47
J8E800000003-33	2010	20
001700000990-53	2012	8
001700000990-53	2011	2
001700000990-53	2010	5
002300000991-23	2011	1
047700000000-21	2012	37
047700000000-21	2011	19
104100000001-43	2013	34
104100000001-43	2010	39
661500000000-31	2012	34
J8LH00000007-11	2011	4
J8LH00000007-11	2010	3
J4D600000002-23	2011	64
033800000001-26	2012	745
000300000995-43	2013	30
001900000005-33	2015	94
001900000005-33	2013	77
001900000005-33	2012	89
001900000005-33	2010	125
039000000006-35	2012	23
J3UC00000003-41	2011	65
183300000005-52	2011	172
363100000000-29	2015	257
363100000000-29	2014	215
363100000000-29	2013	257
