ID_da_instituicao	ID_da_subdisciplina	Ano	Publicacoes
004100000005	48	2014	16
004100000005	84	2014	12
004100000005	127	2014	14
004100000005	135	2014	12
004100000005	218	2014	15
004100000005	233	2014	20
004100000005	262	2014	15
004100000005	320	2014	12
004100000005	345	2014	12
004100000005	366	2014	12
004100000005	384	2014	12
004100000005	394	2014	12
004100000005	445	2014	12
004100000005	523	2014	37
004100000005	1	2013	24
004100000005	4	2013	33
004100000005	9	2013	20
004100000005	40	2013	19
004100000005	48	2013	19
004100000005	84	2013	18
004100000005	127	2013	24
004100000005	135	2013	19
004100000005	218	2013	19
004100000005	233	2013	21
004100000005	262	2013	19
004100000005	320	2013	19
004100000005	345	2013	18
004100000005	366	2013	19
004100000005	384	2013	19
004100000005	394	2013	19
004100000005	445	2013	18
004100000005	523	2013	53
004100000005	441	2013	3
003900000001	340	2012	173
006200000003	138	2010	58
006700000002	450	2015	16
006700000002	191	2014	123
006700000002	203	2013	78
006700000002	525	2012	45
006700000002	203	2011	84
000500000999	258	2015	1
033700000000	6	2015	15
033700000000	224	2010	4
033400000004	269	2014	1
033400000004	35	2013	25
033400000004	470	2013	1
033400000004	269	2012	2
033400000004	199	2012	3
033400000004	413	2012	9
033400000004	413	2011	9
033400000004	269	2011	2
033400000004	339	2011	2
033400000004	310	2011	2
033400000004	339	2010	14
033000000007	117	2013	40
033000000007	163	2011	19
033000000007	36	2011	4
033000000007	117	2010	33
033000000007	49	2010	53
IX9M00000000	372	2015	1
IX9M00000000	117	2014	1
IX9M00000000	194	2012	1
033700000000	138	2015	11
033700000000	456	2015	53
002500000006	263	2015	8
002500000006	165	2015	7
002500000006	6	2014	2
002500000006	165	2013	3
002500000006	365	2013	4
002500000006	102	2013	5
002500000006	90	2012	1
002500000006	263	2012	3
002500000006	195	2012	1
002500000006	504	2012	1
002500000006	165	2012	1
002500000006	365	2012	5
002500000006	102	2012	2
002500000006	365	2011	5
002500000006	285	2011	2
002500000006	200	2011	1
002500000006	90	2011	2
002500000006	365	2010	1
002500000006	413	2010	2
024700000000	454	2010	32
502700000001	429	2013	3
006700000002	343	2012	14
006700000002	94	2010	27
006200000003	246	2014	1
006200000003	279	2012	1
006200000003	279	2010	1
020200000009	523	2015	311
020200000009	523	2011	182
003900000001	257	2015	17
003900000001	509	2015	8
003900000001	9	2015	76
003900000001	37	2015	12
003900000001	340	2015	218
003900000001	22	2013	22
003900000001	264	2013	51
003900000001	9	2013	83
003900000001	454	2012	518
003900000001	9	2011	115
003900000001	37	2011	1
020200000009	199	2014	30
906100000009	418	2011	1
000800000994	343	2010	1
000800000994	30	2010	2
032700000001	514	2015	2
032700000001	49	2014	68
032700000001	117	2014	15
032700000001	107	2014	232
032700000001	107	2013	220
032700000001	341	2013	65
032700000001	456	2013	35
032700000001	49	2011	36
985600162083	339	2010	1
033400000004	77	2014	1
033400000004	116	2011	7
033400000004	37	2011	4
033100000009	424	2015	1
033100000009	424	2014	1
033100000009	16	2014	1
033100000009	16	2012	1
033100000009	16	2010	1
008900000002	19	2013	37
171500000005	257	2015	1
171500000005	402	2014	1
171500000005	257	2014	1
171500000005	26	2014	3
171500000005	257	2012	2
171500000005	257	2010	1
885300000006	503	2014	2
885300000006	341	2012	7
885300000006	107	2012	4
885300000006	341	2011	9
885300000006	503	2011	3
885300000006	341	2010	9
003900000001	6	2015	20
003900000001	22	2015	21
003900000001	215	2013	2
IX2400000007	434	2015	5
IX2400000007	126	2012	4
IX2400000007	434	2012	2
001600000999	315	2013	1
001600000999	429	2012	1
001600000999	404	2011	1
001600000999	227	2010	2
001600000999	315	2010	1
001600000999	545	2010	1
198100000000	200	2015	5
198100000000	200	2014	20
198100000000	200	2012	10
198100000000	200	2010	9
002100000009	508	2015	10
004300000009	161	2015	46
004300000009	163	2011	18
006700000002	448	2013	24
006700000002	365	2013	59
006700000002	260	2013	82
006700000002	277	2015	15
006700000002	441	2015	56
006700000002	365	2015	68
006700000002	4	2015	129
006700000002	441	2014	61
006700000002	549	2014	100
006700000002	1	2014	163
006700000002	4	2014	142
006700000002	9	2014	210
006700000002	40	2014	57
006700000002	48	2014	66
006700000002	84	2014	66
006700000002	127	2014	107
006700000002	135	2014	115
006700000002	218	2014	78
006700000002	233	2014	56
006700000002	262	2014	73
006700000002	320	2014	62
006700000002	345	2014	60
006700000002	366	2014	66
006700000002	384	2014	52
006700000002	394	2014	53
006700000002	445	2014	106
006700000002	523	2014	660
006700000002	88	2014	72
006700000002	365	2014	49
006700000002	4	2013	118
006700000002	441	2013	59
006700000002	463	2013	47
006700000002	37	2013	69
006700000002	1	2012	149
006700000002	4	2012	85
006700000002	9	2012	159
006700000002	40	2012	35
006700000002	48	2012	36
006700000002	84	2012	36
006700000002	127	2012	76
006700000002	218	2012	47
006700000002	233	2012	59
006700000002	262	2012	81
006700000002	345	2012	49
006700000002	366	2012	44
006700000002	384	2012	29
006700000002	394	2012	52
006700000002	445	2012	64
006700000002	365	2012	29
006700000002	441	2012	60
006700000002	88	2011	86
006700000002	277	2011	13
006700000002	365	2011	43
006700000002	514	2011	29
006700000002	423	2011	60
006700000002	441	2010	74
006700000002	88	2010	84
006700000002	185	2010	39
006700000002	402	2010	131
011100000008	108	2015	4
011100000008	476	2013	2
020200000009	73	2015	44
020200000009	505	2013	13
020200000009	73	2012	33
020200000009	73	2011	42
000500000999	247	2013	1
501100000002	464	2013	1
004300000009	161	2013	63
004300000009	548	2010	8
930820000000	426	2015	1
930820000000	113	2015	1
930820000000	237	2014	2
930820000000	358	2014	1
930820000000	166	2012	2
930820000000	508	2012	2
930820000000	113	2012	1
930820000000	426	2011	1
930820000000	109	2011	1
930820000000	120	2011	1
930820000000	275	2011	1
930820000000	287	2011	1
930820000000	305	2011	1
930820000000	339	2011	1
930820000000	358	2011	1
930820000000	166	2010	1
930820000000	30	2010	1
008900000002	36	2014	26
008900000002	36	2013	23
007200000001	499	2013	4
007200000001	107	2012	1
008200000000	11	2011	15
780900000000	479	2013	5
029100000000	9	2012	19
029100000000	506	2010	12
342800000000	262	2015	2
342800000000	33	2015	2
342800000000	335	2015	2
342800000000	449	2014	10
342800000000	82	2013	1
342800000000	262	2013	2
342800000000	33	2013	2
342800000000	33	2012	3
342800000000	402	2011	3
342800000000	33	2010	2
567200000007	53	2014	1
567200000007	548	2014	1
567200000007	30	2013	3
567200000007	487	2013	2
567200000007	30	2012	2
567200000007	413	2012	2
567200000007	72	2012	1
567200000007	343	2010	9
000500000999	365	2014	1
000500000999	37	2013	2
000500000999	310	2012	1
000500000999	310	2011	3
000500000999	18	2010	1
000500000999	199	2010	1
006700000002	523	2013	631
006700000002	1	2013	142
006700000002	6	2013	235
006700000002	233	2013	52
006700000002	89	2012	15
006700000002	1	2011	136
033700000000	476	2013	1
006700000002	405	2015	87
006700000002	405	2014	69
006700000002	25	2014	70
006700000002	83	2014	42
006700000002	42	2014	114
006700000002	83	2013	28
006700000002	138	2012	309
006700000002	42	2012	99
006700000002	405	2012	74
006700000002	83	2011	17
006700000002	42	2011	103
006700000002	405	2010	54
006700000002	83	2010	31
006700000002	42	2010	107
033300000002	88	2011	19
I3CJ00000006	503	2010	15
460900000006	457	2013	2
033700000000	213	2015	6
033700000000	213	2014	1
033700000000	340	2014	10
033700000000	523	2014	47
033700000000	523	2013	44
033700000000	108	2013	16
033700000000	140	2012	3
033700000000	213	2012	5
033700000000	13	2012	27
033700000000	38	2011	19
033700000000	140	2011	2
033700000000	108	2011	14
033700000000	423	2010	25
033700000000	213	2010	3
033700000000	108	2010	11
002100000009	181	2011	7
870400000000	123	2013	3
171500000005	9	2015	3
171500000005	405	2014	3
171500000005	32	2014	5
171500000005	405	2013	5
171500000005	32	2013	5
171500000005	402	2012	2
171500000005	32	2012	8
171500000005	6	2012	2
171500000005	262	2012	4
171500000005	262	2011	8
171500000005	32	2010	13
171500000005	37	2010	1
171500000005	349	2010	5
171500000005	402	2010	2
171500000005	54	2010	2
032700000001	138	2013	26
032700000001	138	2012	28
032700000001	138	2011	26
032700000001	138	2010	16
306200000002	88	2011	1
306200000002	88	2010	2
I22A00000002	103	2015	2
I22A00000002	103	2014	1
I22A00000002	103	2011	1
I22A00000002	103	2010	1
019200000005	36	2015	28
019200000005	273	2014	4
019200000005	36	2013	30
019200000005	456	2013	56
019200000005	228	2012	1
019200000005	36	2012	32
019200000005	273	2012	4
019200000005	273	2010	5
019200000005	361	2010	13
019200000005	212	2010	1
027200000006	115	2013	1
027200000006	549	2013	1
027200000006	255	2013	1
027200000006	105	2013	5
027200000006	320	2012	1
027200000006	255	2012	2
027200000006	404	2011	1
027200000006	549	2011	1
027200000006	257	2011	3
027200000006	105	2011	7
027200000006	413	2011	2
027200000006	115	2011	1
027200000006	339	2011	2
027200000006	339	2010	4
027200000006	255	2010	1
005900000008	339	2012	11
004400000000	454	2014	47
033400000004	439	2015	1
033400000004	227	2014	1
033400000004	107	2013	3
033400000004	227	2013	1
033400000004	227	2011	2
033400000004	429	2011	5
006700000002	213	2015	17
006700000002	202	2015	34
006700000002	304	2014	26
006700000002	499	2013	69
006700000002	341	2013	95
006700000002	107	2013	199
006700000002	304	2013	34
006700000002	224	2012	20
006700000002	457	2011	288
006700000002	107	2011	211
006700000002	341	2011	84
032600000000	255	2014	8
029100000000	24	2014	11
029100000000	24	2013	8
029100000000	349	2012	8
029100000000	24	2012	4
029100000000	24	2011	15
892700000006	109	2015	1
892700000006	109	2013	1
892700000006	109	2012	1
009200000008	429	2014	212
010300000003	35	2014	15
003900000001	1	2015	31
003900000001	19	2014	15
003900000001	544	2013	16
003900000001	19	2011	31
003900000001	6	2011	39
006700000002	203	2015	72
006700000002	457	2015	146
006700000002	203	2014	81
006700000002	457	2013	215
006700000002	80	2013	43
006700000002	549	2013	113
006700000002	203	2012	89
006700000002	549	2011	110
006700000002	549	2010	121
006700000002	457	2010	256
832500000009	545	2010	7
006700000002	77	2015	141
006700000002	130	2014	20
006700000002	436	2011	10
884100000004	324	2010	1
007000000008	126	2012	4
020100000007	169	2014	14
020100000007	290	2013	6
653900000006	35	2015	1
032700000001	14	2013	4
032700000001	14	2012	2
033000000007	10	2014	24
033000000007	448	2013	24
033000000007	102	2012	56
033000000007	232	2011	5
007900000004	63	2015	20
007900000004	324	2015	27
007900000004	63	2014	21
007900000004	324	2014	32
007900000004	224	2014	12
007900000004	457	2014	116
007900000004	445	2013	33
007900000004	224	2013	10
007900000004	44	2012	6
007900000004	412	2012	9
007900000004	324	2012	44
007900000004	191	2010	67
007900000004	532	2010	2
008900000002	523	2015	48
008900000002	402	2015	42
008900000002	523	2014	53
008900000002	4	2011	24
008900000002	163	2010	29
004500000002	10	2012	7
004500000002	10	2011	5
482000000000	276	2012	1
006700000002	523	2015	644
006700000002	340	2015	126
006700000002	264	2014	43
006700000002	340	2013	137
006700000002	264	2012	48
006700000002	340	2011	117
006700000002	264	2010	61
006700000002	127	2010	107
J32200000000	80	2015	2
J32200000000	77	2015	1
J32200000000	6	2014	3
J32200000000	80	2014	2
J32200000000	69	2014	3
J32200000000	77	2014	2
J32200000000	6	2013	3
J32200000000	77	2013	2
J32200000000	402	2013	7
J32200000000	523	2013	2
J32200000000	4	2013	2
J32200000000	320	2012	2
J32200000000	77	2012	2
008900000002	473	2013	2
008900000002	532	2012	4
008900000002	402	2012	70
008900000002	512	2011	7
032900000005	115	2015	18
032900000005	24	2015	1
032900000005	454	2015	22
032900000005	369	2015	10
032900000005	523	2015	51
032900000005	117	2014	5
032900000005	49	2014	41
032900000005	55	2014	14
032900000005	454	2014	25
032900000005	523	2014	69
032900000005	24	2013	3
032900000005	241	2013	1
032900000005	454	2013	26
032900000005	117	2013	18
032900000005	6	2012	6
032900000005	424	2012	12
032900000005	304	2012	5
032900000005	55	2011	7
032900000005	241	2010	11
032900000005	24	2010	2
168400000003	545	2012	1
168400000003	429	2010	1
008000000006	390	2010	4
008000000006	250	2010	1
009200000008	131	2015	33
009200000008	514	2014	15
009200000008	544	2014	110
009200000008	544	2013	70
009200000008	345	2010	23
002100000009	200	2015	28
014000000000	200	2010	76
009200000008	491	2014	1
009200000008	35	2012	2
033500000006	269	2015	4
033500000006	269	2014	3
033500000006	199	2012	18
033500000006	273	2012	3
033500000006	36	2011	11
001300000993	107	2011	1
033700000000	477	2014	5
032600000000	376	2015	14
032600000000	376	2014	24
032600000000	376	2012	10
032600000000	125	2010	58
080400000006	195	2015	2
080400000006	402	2015	21
080400000006	117	2014	8
080400000006	161	2014	9
080400000006	49	2012	5
080400000006	161	2011	10
033000000007	454	2014	105
033000000007	257	2014	27
033000000007	257	2012	45
010300000003	418	2015	1
010300000003	71	2011	2
019200000005	200	2015	8
019200000005	421	2015	3
019200000005	189	2015	9
019200000005	102	2015	20
019200000005	90	2015	20
019200000005	10	2015	42
019200000005	199	2015	30
019200000005	90	2014	24
019200000005	263	2014	18
019200000005	260	2014	21
019200000005	36	2014	26
019200000005	102	2014	40
019200000005	432	2014	8
019200000005	90	2013	15
019200000005	194	2013	44
019200000005	38	2013	31
019200000005	102	2013	31
019200000005	189	2013	11
019200000005	199	2013	32
019200000005	342	2013	7
019200000005	413	2013	29
019200000005	237	2013	7
019200000005	365	2013	15
019200000005	457	2013	49
019200000005	90	2012	9
019200000005	436	2011	6
019200000005	90	2011	10
019200000005	200	2011	4
019200000005	413	2011	43
019200000005	36	2011	17
019200000005	199	2011	32
019200000005	457	2011	38
019200000005	316	2011	3
019200000005	102	2011	17
019200000005	482	2011	16
019200000005	23	2011	16
019200000005	194	2011	31
019200000005	90	2010	18
019200000005	102	2010	12
019200000005	374	2010	6
019200000005	23	2010	31
019200000005	432	2010	17
033700000000	42	2013	10
033700000000	405	2011	7
J32200000000	49	2015	8
J32200000000	361	2014	1
J32200000000	441	2014	1
J32200000000	49	2013	2
J32200000000	515	2013	1
J32200000000	456	2012	3
J32200000000	117	2012	2
J32200000000	341	2012	4
J32200000000	49	2012	10
J32200000000	163	2012	3
J32200000000	361	2011	3
J32200000000	217	2011	2
J32200000000	29	2011	1
J32200000000	49	2011	12
J32200000000	117	2011	2
J32200000000	163	2011	8
J32200000000	49	2010	18
J32200000000	361	2010	4
J32200000000	117	2010	3
J32200000000	515	2010	4
032700000001	227	2013	27
032700000001	429	2012	93
032700000001	107	2011	256
032700000001	429	2011	86
032700000001	429	2010	96
002000000996	324	2013	1
002000000996	466	2011	2
778500000000	51	2015	3
778500000000	525	2011	6
308200000009	454	2013	1
008400000003	487	2014	10
008400000003	487	2011	20
006700000002	505	2012	34
006700000002	505	2010	35
002100000009	38	2014	31
002100000009	46	2011	27
033000000007	25	2015	23
033000000007	471	2014	11
033000000007	523	2014	184
033000000007	48	2014	25
033000000007	101	2014	12
033000000007	523	2013	161
033000000007	33	2013	22
033000000007	130	2013	16
033000000007	1	2013	31
033000000007	405	2013	17
033000000007	12	2013	14
033000000007	59	2013	12
033000000007	6	2013	73
033000000007	203	2013	71
033000000007	45	2012	11
033000000007	110	2011	2
033000000007	130	2011	19
033000000007	478	2011	7
033000000007	16	2011	12
033000000007	130	2010	9
033000000007	12	2010	11
870400000000	416	2015	2
010300000003	70	2012	1
482000000000	35	2014	1
482000000000	102	2013	2
288200000000	107	2014	3
288200000000	255	2011	1
288200000000	429	2010	3
006700000002	9	2015	148
006700000002	1	2015	212
006700000002	54	2014	119
006700000002	194	2013	142
006700000002	460	2013	30
006700000002	29	2013	84
006700000002	424	2013	73
006700000002	22	2012	46
006700000002	101	2010	91
173700000005	135	2010	1
173700000005	107	2010	3
006700000002	499	2010	64
010600000009	192	2012	1
F3V900000009	429	2015	12
010300000003	79	2011	4
010300000003	270	2010	4
832500000009	117	2014	3
832500000009	49	2013	4
832500000009	372	2013	5
832500000009	372	2012	3
832500000009	117	2010	7
032700000001	522	2015	1
020200000009	20	2015	79
020200000009	20	2013	46
007900000004	457	2013	122
007900000004	457	2012	137
007900000004	457	2011	111
198100000000	372	2012	4
567200000007	9	2010	1
033100000009	130	2010	4
ISUL00000001	39	2012	1
ISUL00000001	101	2010	3
004000000003	10	2015	2
004000000003	161	2014	3
004000000003	90	2013	1
004000000003	514	2012	3
004000000003	369	2012	2
004000000003	117	2011	3
004000000003	284	2011	2
004000000003	454	2010	6
811900000003	454	2015	4
811900000003	523	2015	1
811900000003	20	2015	1
811900000003	429	2015	3
811900000003	284	2010	15
029100000000	230	2013	1
033200000000	424	2015	4
033200000000	78	2014	2
033200000000	424	2013	7
033200000000	78	2012	2
033200000000	345	2012	2
033200000000	548	2011	4
033200000000	78	2010	1
004400000000	416	2014	13
004400000000	416	2013	8
019200000005	141	2015	1
780900000000	2	2013	33
780900000000	2	2010	30
010300000003	544	2015	20
010300000003	515	2014	7
010300000003	117	2014	24
010300000003	29	2014	17
010300000003	419	2014	18
010300000003	163	2014	13
010300000003	429	2014	69
010300000003	544	2014	21
010300000003	304	2014	8
010300000003	361	2013	18
010300000003	515	2013	6
010300000003	419	2013	21
010300000003	515	2012	4
010300000003	304	2012	7
010300000003	29	2012	40
010300000003	163	2011	17
010300000003	361	2011	19
010300000003	429	2011	86
010300000003	107	2011	79
010300000003	163	2010	25
010300000003	117	2010	25
446900000000	456	2010	5
446900000000	253	2010	6
006200000003	405	2015	37
006200000003	523	2015	198
006200000003	167	2014	10
006200000003	101	2014	48
006200000003	530	2013	21
006200000003	167	2012	11
006200000003	405	2012	44
006200000003	101	2012	70
006200000003	405	2011	67
006200000003	101	2010	110
024000000008	41	2012	1
024000000008	138	2012	25
006200000003	469	2015	5
006200000003	59	2015	11
032700000001	316	2014	4
008700000009	109	2015	3
008700000009	322	2015	37
008700000009	442	2015	15
008700000009	322	2013	73
008700000009	320	2012	3
008700000009	322	2012	81
008700000009	61	2011	12
008700000009	97	2011	24
008700000009	254	2011	9
008700000009	322	2011	137
008700000009	103	2010	22
003900000001	523	2015	256
003900000001	9	2014	56
003900000001	22	2014	33
003900000001	26	2013	28
001500000008	413	2013	11
306200000002	454	2010	3
350700000009	260	2015	5
350700000009	416	2011	3
033000000007	13	2015	47
033000000007	90	2014	66
033000000007	102	2014	95
033000000007	10	2013	29
004300000009	284	2014	19
004300000009	423	2011	5
033000000007	312	2013	13
039200000000	49	2015	13
039200000000	36	2014	2
039200000000	277	2014	1
039200000000	49	2013	4
039200000000	49	2012	5
039200000000	277	2012	2
039200000000	49	2011	3
039200000000	49	2010	7
039200000000	42	2014	11
039200000000	405	2013	7
039200000000	257	2010	2
000600000001	538	2015	1
000600000001	35	2014	2
000600000001	35	2013	4
000600000001	260	2013	2
000600000001	179	2012	3
000600000001	185	2011	4
000600000001	365	2011	4
000600000001	199	2011	2
000600000001	38	2010	2
000600000001	161	2010	14
000600000001	18	2010	9
000600000001	199	2010	1
039200000000	372	2011	1
008900000002	53	2015	3
008900000002	404	2014	10
008900000002	429	2014	29
008900000002	545	2014	4
008900000002	255	2014	9
008900000002	545	2013	5
008900000002	196	2012	11
008900000002	429	2011	43
008900000002	227	2011	19
008900000002	196	2010	6
021100000005	454	2011	18
306200000002	107	2014	6
006700000002	31	2012	24
065800000000	509	2010	58
065800000000	441	2010	4
006700000002	103	2015	70
006700000002	103	2011	75
I3CJ00000006	227	2015	35
I3CJ00000006	107	2015	17
I3CJ00000006	413	2015	7
I3CJ00000006	323	2014	9
I3CJ00000006	372	2014	4
I3CJ00000006	454	2014	4
I3CJ00000006	323	2013	4
I3CJ00000006	429	2013	13
I3CJ00000006	454	2013	6
I3CJ00000006	323	2012	1
I3CJ00000006	429	2012	22
I3CJ00000006	454	2012	8
I3CJ00000006	429	2011	20
I3CJ00000006	545	2011	12
I3CJ00000006	323	2011	1
I3CJ00000006	454	2011	9
I3CJ00000006	413	2010	1
387300000000	429	2012	2
387300000000	23	2011	6
000900000996	126	2012	1
008700000009	416	2015	9
008700000009	416	2014	3
008700000009	416	2013	6
008700000009	416	2012	4
008700000009	416	2011	2
008700000009	442	2011	6
008700000009	30	2010	12
008700000009	97	2010	30
024000000008	295	2015	2
006200000003	45	2015	50
006200000003	523	2014	213
006200000003	445	2013	64
002100000009	361	2011	21
033300000002	132	2015	11
033300000002	413	2014	40
033300000002	237	2013	6
033300000002	316	2010	10
020200000009	374	2011	3
020200000009	149	2010	2
033400000004	338	2014	3
007000000008	81	2015	4
007000000008	478	2015	4
007000000008	478	2012	6
007000000008	82	2012	9
007000000008	203	2011	5
007000000008	192	2011	6
007000000008	82	2011	3
008400000003	523	2015	23
008400000003	325	2012	8
008400000003	487	2012	14
006700000002	402	2013	229
006700000002	255	2012	14
000600000990	138	2013	2
000600000990	515	2012	1
412700000002	523	2014	12
020200000009	483	2015	18
020200000009	38	2015	23
020200000009	483	2014	20
020200000009	463	2014	13
020200000009	483	2013	20
020200000009	38	2012	22
020200000009	483	2012	9
020200000009	299	2012	6
020200000009	153	2011	11
020200000009	444	2011	1
020200000009	483	2011	12
020200000009	483	2010	11
033000000007	194	2015	194
033000000007	194	2014	176
033000000007	424	2013	51
033000000007	194	2012	137
033000000007	191	2012	157
460900000006	21	2014	1
460900000006	341	2014	2
460900000006	21	2013	2
460900000006	294	2011	1
460900000006	544	2011	3
006200000003	9	2013	69
000300000006	427	2013	5
000300000006	227	2013	75
000300000006	429	2013	91
000300000006	227	2011	72
431200000000	191	2015	1
431200000000	483	2012	1
431200000000	13	2011	2
431200000000	38	2011	1
