ID_da_instituicao	Publicacoes
71900000006	6
82500000004	6
97600000004	6
118900000006	6
121000000000	6
160300000006	6
273900000005	6
352300000008	6
416900000009	6
443100000001	6
464400000000	6
522600000004	6
539700000000	6
822800000007	6
841300000004	6
872500000008	6
985600042002	6
985600132257	6
985600153688	6
985600160714	6
985600163799	6
985600203685	6
985600433982	6
985600559978	6
985601329550	6
985601346269	6
985606567018	6
985606880727	6
985608320850	6
0U0E00000008	6
GCI600000000	6
GZM800000006	6
H1QJ00000008	6
IXJV00000009	6
IXMQ00000000	6
IZWC00000008	6
IZZ100000000	6
J09300000007	6
J0GX00000002	6
J12600000002	6
J2UJ00000009	6
J4T600000001	6
J5J200000001	6
J6KN00000007	6
J6QK00000000	6
J7NE00000000	6
JAUL00000000	6
JG0Z00000000	6
JGLR00000002	6
JIGJ00000001	6
JM7R00000002	6
JMA100000004	6
JO2400000000	6
3800000999	7
4100000994	7
9100000006	7
13300000008	7
26200000008	7
83900000000	7
101800000000	7
211700000001	7
234600000009	7
281800000004	7
294000000001	7
336800000005	7
451000000000	7
554700000004	7
628700000001	7
830900000000	7
851700000009	7
879000000006	7
898800000007	7
985600163969	7
985600168324	7
985600189844	7
985600191016	7
985600198568	7
985600419629	7
985600431459	7
985600694387	7
985600701642	7
G53N00000005	7
ICQ400000002	7
IXUY00000000	7
IY4H00000006	7
IYN400000002	7
IZ8J00000000	7
IZYV00000002	7
J09G00000002	7
J3XY00000001	7
J4BJ00000001	7
J61F00000009	7
J6O400000001	7
J9IX00000004	7
JAH000000005	7
JARS00000000	7
JCJT00000002	7
JCNA00000007	7
JGDG00000007	7
JHUE00000006	7
JQHV00000000	7
JTMR00000002	7
JUCV00000006	7
28000000000	8
64000000007	8
291600000008	8
294100000003	8
294500000000	8
309100000005	8
490100000003	8
506800000006	8
763900000000	8
770900000002	8
904100000002	8
951500000001	8
985600043289	8
985600159937	8
985600170892	8
985600213036	8
985600219433	8
985600401134	8
985600710536	8
985601004481	8
985601345955	8
0RXO00000003	8
GFGJ00000000	8
IV6N00000003	8
IWAU00000006	8
IX7N00000006	8
IYA500000000	8
IYHN00000003	8
J04H00000003	8
J17Z00000001	8
J2VV00000002	8
J3A400000007	8
J3SV00000007	8
J3TM00000007	8
J54700000000	8
J7QZ00000007	8
J8QC00000009	8
JCT500000005	8
JDWY00000003	8
JN4000000002	8
JP0K00000004	8
5200000005	9
5400000998	9
14300000006	9
28100000002	9
32604003020	9
155800000009	9
176500000006	9
201300000007	9
284100000006	9
391100000005	9
432700000007	9
473900000008	9
551700000000	9
771100000006	9
777100000005	9
870200000006	9
985600084899	9
985600094916	9
985600099934	9
985600190540	9
985600199645	9
985600209365	9
985600444798	9
IXU200000007	9
IY1I00000003	9
IZ8I00000008	9
IZJL00000003	9
IZMN00000000	9
IZS100000005	9
J0RV00000007	9
J17T00000009	9
J17W00000006	9
J1VQ00000004	9
J4FW00000001	9
J72U00000005	9
J7Y600000002	9
J9CU00000000	9
JAU400000005	9
JDFW00000004	9
JE6A00000006	9
JHTG00000003	9
JHU600000000	9
4200000007	10
64200000000	10
91400000001	10
111000000002	10
115200000009	10
290200000002	10
328600000000	10
414600000007	10
433800000007	10
827900000000	10
835100000006	10
861000000003	10
951100000004	10
985600041944	10
985600084597	10
985600146169	10
985600203669	10
985601108074	10
985601336778	10
IX9T00000003	10
IXVL00000003	10
IYAY00000008	10
IYDQ00000006	10
IYIB00000008	10
IYOT00000000	10
IYSS00000000	10
IZ1B00000008	10
IZYJ00000007	10
