Ano	ID_da_microregiao	Nome_da_microregiao	Valor_bruto_agropecuaria	Valor_bruto_industria	Valor_bruto_servicos	Valor_bruto_administracao	Valor_bruto_total	Impostos	PIB	Populacao	PIB_per_capita
2010	15001	Óbidos	439216.0	1133078.0	543859.0	365971.0	2482123.0	98845.0	2580971.0	184473.0	51406.520000000004
2010	15021	Redenção	288966.0	292131.0	705809.0	345975.0	1632882.0	173576.0	1806456.0	183163.0	64969.92
2010	16003	Macapá	113685.0	530872.0	2919752.0	2989362.0	6553671.0	588804.0	7142474.0	545796.0	89753.98
2010	16002	Amapá	38446.0	4559.0	28547.0	135420.0	206970.0	9459.0	216430.0	24223.0	27687.829999999998
2010	16001	Oiapoque	19271.0	11637.0	70266.0	162365.0	263536.0	13320.0	276856.0	29390.0	18780.33
2010	16004	Mazagão	24610.0	36038.0	131251.0	385636.0	577536.0	24497.0	602034.0	69280.0	25955.760000000002
2010	17003	Miracema do Tocantins	241597.0	314779.0	369585.0	464001.0	1389963.0	116510.0	1506465.0	142322.0	231077.47
2010	17001	Bico do Papagaio	132379.0	74225.0	281451.0	610939.0	1098992.0	73150.0	1172143.0	196389.0	152016.56
2010	17005	Gurupi	187247.0	721385.0	692936.0	433149.0	2034716.0	212714.0	2247433.0	137233.0	197445.43999999994
2010	17008	Dianópolis	320489.0	218307.0	222949.0	379329.0	1141073.0	51229.0	1192305.0	118121.0	188906.78
2010	17006	Porto Nacional	168053.0	987347.0	2158283.0	1131173.0	4444852.0	641386.0	5086237.0	322655.0	108497.37000000001
2010	17002	Araguaína	219138.0	556722.0	1249815.0	864915.0	2890587.0	344148.0	3234737.0	278791.0	160630.81
2010	17004	Rio Formoso	284745.0	195451.0	399027.0	371143.0	1250368.0	127998.0	1378368.0	116001.0	143954.77
2010	17007	Jalapão	186144.0	36341.0	101208.0	234935.0	558623.0	28501.0	587126.0	71941.0	122216.40000000002
2010	21009	Imperatriz	380238.0	731763.0	2477058.0	900836.0	4489897.0	461440.0	4951338.0	566701.0	86932.37000000001
2010	21016	Coelho Neto	33203.0	25071.0	92974.0	143117.0	294363.0	15285.0	309649.0	87335.0	12938.03
2010	21013	Baixo Parnaíba Maranhense	102980.0	20489.0	122570.0	209753.0	455791.0	16753.0	472544.0	139136.0	19462.64
2010	21001	Litoral Ocidental Maranhense	81801.0	24773.0	119326.0	287893.0	513791.0	14402.0	528192.0	183898.0	37034.15
2010	21008	Pindaré	564603.0	159378.0	1038987.0	942657.0	2705624.0	151602.0	2857226.0	621803.0	90409.38
2010	21015	Codó	93452.0	176443.0	356434.0	409924.0	1036252.0	63584.0	1099837.0	263300.0	23323.160000000003
2010	21020	Gerais de Balsas	752512.0	157609.0	864535.0	223846.0	1998503.0	163178.0	2161681.0	130436.0	93492.48
2010	21007	Gurupi	194237.0	64583.0	195197.0	347547.0	801561.0	25762.0	827326.0	221613.0	51653.22
2010	21005	Baixada Maranhense	365292.0	118904.0	600548.0	857902.0	1942646.0	89940.0	2032583.0	563877.0	72179.73999999999
2010	21014	Chapadinha	155192.0	59802.0	263455.0	353167.0	831615.0	34492.0	866106.0	219678.0	33937.020000000004
2010	21011	Alto Mearim e Grajaú	302057.0	62766.0	332313.0	475711.0	1172843.0	41472.0	1214316.0	311548.0	40597.61
2010	21003	Rosário	65762.0	131940.0	167388.0	248703.0	613792.0	34501.0	648295.0	161268.0	33494.09
2010	21010	Médio Mearim	324880.0	103858.0	753181.0	610402.0	1792323.0	105487.0	1897808.0	411884.0	80338.21
2010	21018	Chapadas do Alto Itapecuru	167214.0	47759.0	251428.0	305347.0	771746.0	33880.0	805623.0	209373.0	48087.869999999995
2010	21004	Lençóis Maranhenses	74658.0	22722.0	140224.0	272216.0	509820.0	15559.0	525379.0	176114.0	16575.5
2010	21021	Chapadas das Mangabeiras	321559.0	49429.0	143028.0	109445.0	623460.0	26360.0	649820.0	68011.0	71816.38
2010	21017	Caxias	98931.0	312474.0	981599.0	724931.0	2117933.0	201611.0	2319546.0	416131.0	24747.68
2010	21019	Porto Franco	130131.0	298582.0	269285.0	178267.0	876267.0	74302.0	950567.0	109843.0	44395.19
2010	21006	Itapecuru Mirim	112679.0	173509.0	235459.0	317503.0	839150.0	52223.0	891372.0	210676.0	31764.27
2010	21012	Presidente Dutra	149126.0	65084.0	323119.0	285473.0	822803.0	47683.0	870487.0	191029.0	43660.57
2010	21002	Aglomeração Urbana de São Luís	67421.0	4076432.0	9503998.0	2253028.0	15900880.0	3529056.0	19429935.0	1306029.0	29542.129999999997
2010	22015	Alto Médio Canindé	97307.0	197026.0	284704.0	549265.0	1128301.0	92853.0	1221152.0	261949.0	162056.13000000003
2010	22005	Médio Parnaíba Piauiense	39342.0	24777.0	136052.0	272513.0	472687.0	28546.0	501233.0	130856.0	63610.829999999994
2010	22014	Pio IX	24502.0	12575.0	55441.0	115971.0	208493.0	15342.0	223833.0	57888.0	26893.65
2010	22004	Campo Maior	67684.0	56690.0	258646.0	448695.0	831712.0	60984.0	892699.0	220421.0	70205.08
2010	22003	Teresina	73952.0	2070848.0	5466716.0	2124781.0	9736298.0	1716973.0	11453271.0	999449.0	75627.47
2010	22010	Alto Médio Gurguéia	125194.0	34253.0	151288.0	182726.0	493460.0	43767.0	537227.0	88078.0	58529.57000000001
2010	22011	São Raimundo Nonato	41414.0	26888.0	164759.0	275705.0	508768.0	37955.0	546723.0	135161.0	60952.14
